index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
5,Japan Airlines,210.518,755.908,101.03299999999999,9.843,44105,10,269,160,Japan,2020,42756
34,China Airlines,940.925,1284.968,79.447,0.6759999999999999,44044,8,107,907,Taiwan,2020,42583
155,China Southern Airlines,1381.35,828.714,129.923,0.0,44013,7,283,2284,China,2020,42515
198,Delta Air Lines,226.665,303.566,31.897,0.0,44044,8,558,788,USA,2020,42586
219,United Airlines,866.6260000000001,1218.985,98.792,131.637,44075,9,1289,1304,USA,2020,42711
406,Cathay Pacific Airways,2448.532,2141.035,223.06,0.0,44075,9,784,2419,Hong Kong (SAR),2020,42657
628,Air Canada,0.0,468.896,0.0,54.261,44136,11,0,0,New Zealand,2020,42801
816,Scoot Tigerair,592.967,541.136,0.0,0.0,44075,9,337,1449,Singapore,2020,42703
953,Qantas Airways,0.0,957.068,0.0,0.0,44013,7,0,0,China,2020,42543
1053,Polar Air Cargo,0.0,394.674,0.0,0.0,44136,11,0,0,Korea,2020,42850
1104,Hong Kong Airlines,364.26599999999996,112.711,0.0,0.0,44136,11,0,0,Hong Kong (SAR),2020,42833
1272,Etihad Airways,605.41,971.498,42.023,75.48899999999999,44075,9,960,1492,United Arab Emirates,2020,42669
1365,United Airlines,830.748,1416.748,98.40299999999999,177.925,44105,10,1596,1649,USA,2020,42793
1383,Qantas Airways,126.49600000000001,133.295,0.0,0.0,44044,8,0,0,Singapore,2020,42625
1401,Garuda Indonesia,273.809,202.509,47.343,0.002,44105,10,325,808,Indonesia,2020,42753
1574,Emirates,538.816,544.069,1.126,0.0,44105,10,0,0,Singapore,2020,42742
1780,Malaysia Airlines,1552.06,917.126,11.349,0.0,44075,9,370,1361,Malaysia,2020,42685
1791,Air New Zealand,1159.263,1656.154,92.48,54.113,44075,9,1844,5389,New Zealand,2020,42649
1845,Korean Air,92.663,55.094,0.0,1.51,44075,9,0,111,Korea,2020,42682
1873,Garuda Indonesia,212.239,190.123,41.126000000000005,0.0,44075,9,247,705,Indonesia,2020,42675
1970,Qantas Airways,268.687,606.317,0.9540000000000001,0.644,44105,10,289,85,New Zealand,2020,42777
2029,Singapore Airlines,167.537,676.374,0.0,0.0,44075,9,0,0,New Zealand,2020,42704
2130,Air Canada,204.765,0,65.555,0.0,44105,10,0,0,Canada,2020,42719
2258,Eva Air,669.988,545.863,0.0,0.0,44044,8,0,81,Taiwan,2020,42594
2412,Qatar Airways,2109.149,3526.901,127.213,31.430999999999997,44105,10,4780,6889,Qatar,2020,42783
2444,Qantas Airways,137.489,104.02,0.0,0.013999999999999999,44013,7,0,0,Japan,2020,42545
2560,Etihad Airways,533.856,726.3,24.386,49.155,44013,7,666,2098,United Arab Emirates,2020,42522
2671,Scoot Tigerair,746.709,335.642,0.0,0.0,44136,11,537,661,Singapore,2020,42866
2681,Air Niugini,116.695,211.58,0.0,0.0,44044,8,526,457,Papua New Guinea,2020,42574
2739,Emirates,3217.6090000000004,1271.624,132.155,145.83,44105,10,1960,5775,United Arab Emirates,2020,42744
2898,LATAM Airlines,75.352,23.615,0.0,0.0,44044,8,0,0,Chile,2020,42609
3021,Tasman Cargo Airlines,1091.982,959.58,0.0,0.0,44075,9,0,0,New Zealand,2020,42708
3092,Emirates,36.141,275.859,0.0,0.0,44136,11,0,0,Thailand,2020,42822
3146,Air India,24.65,8.804,6.966,0.040999999999999995,44044,8,198,1313,India,2020,42570
3396,Hainan Airlines,370.901,95.332,0.0,0.0,44044,8,0,0,China,2020,42602
3458,Qatar Airways,108.23,223.688,0.0,0.0,44136,11,0,0,New Zealand,2020,42861
3494,Pacific Air Express,0.0,26.728,0.0,0.0,44013,7,0,0,Papua New Guinea,2020,42538
3769,Singapore Airlines,4596.459,2819.019,36.247,0.0,44013,7,1062,2761,Singapore,2020,42555
3864,Qantas Airways,895.832,501.277,1.6030000000000002,1.439,44044,8,0,0,Hong Kong (SAR),2020,42621
3975,Emirates,469.269,131.258,2.134,0.0,44044,8,0,0,Singapore,2020,42589
4162,Hainan Airlines,109.74,26.605,0.0,0.0,44075,9,0,0,China,2020,42676
4174,Asiana Airlines,44.86600000000001,44.328,0.0,0.0,44044,8,77,1103,Korea,2020,42579
4225,Philippine Airlines,6.524,17.124,0.0,0.0,44013,7,32,287,Philippines,2020,42539
4356,Air China,814.5930000000001,614.164,62.926,77.682,44013,7,0,0,China,2020,42504
4382,Air India,79.947,51.532,33.537,0.081,44075,9,518,1624,India,2020,42648
4543,All Nippon Airways,290.453,222.216,2.7889999999999997,0.0,44075,9,377,562,Japan,2020,42653
4601,Malaysia Airlines,0.0,10.45,0.0,0.0,44136,11,0,0,Macau,2020,42841
4728,Royal Brunei Airlines,77.51899999999999,157.472,0.042,0.0,44075,9,0,29,Brunei,2020,42702
5187,Kalitta Air,0.0,192.488,0.0,0.0,44105,10,0,0,Hong Kong (SAR),2020,42758
5539,Singapore Airlines,186.905,731.045,0.0,0.0,44013,7,0,0,New Zealand,2020,42554
5696,Asiana Airlines,50.481,31.322,1.091,0.0,44013,7,205,946,Korea,2020,42511
5896,Qantas Airways,274.813,594.251,0.174,0.423,44044,8,0,0,New Zealand,2020,42624
6074,Emirates,3660.526,1527.761,81.033,157.664,44013,7,1653,5990,United Arab Emirates,2020,42521
6220,Etihad Airways,528.882,898.875,37.493,83.32799999999999,44136,11,758,835,United Arab Emirates,2020,42824
6405,American Airlines,402.63300000000004,440.348,0.0,0.0,44105,10,0,0,USA,2020,42729
6522,Virgin Australia,23.011,40.233,0.0,0.0,44044,8,0,0,USA,2020,42644
6537,Solomon Airlines,3.825,31.058,0.0,0.0,44105,10,117,30,Solomon Islands,2020,42788
6593,Qantas Airways,91.741,969.81,0.0,0.0,44075,9,0,0,China,2020,42693
6685,Emirates,0.0,510.752,0.0,0.0,44105,10,0,0,Hong Kong (SAR),2020,42738
6854,Air India,40.393,8.149,8.493,0.01,44013,7,393,1841,India,2020,42505
