Airline,level_1,Freight_In_(tonnes)
Air Caledonie International,5704,
Air Caledonie International,37498,
Air Caledonie International,20226,3.8906666666666667
Air Caledonie International,40616,5.5906666666666665
Air Caledonie International,35123,4.852666666666667
Air Caledonie International,33092,5.046333333333333
Air Caledonie International,9972,3.2593333333333336
Air Caledonie International,4902,4.817
Air Caledonie International,33877,4.7316666666666665
Air Caledonie International,26924,5.409333333333333
Air Caledonie International,20561,4.114
Air Caledonie International,42236,3.251
Air Canada,36962,
Air Canada,12163,
Air Canada,37064,282.28766666666667
Air Canada,9011,322.54866666666675
Air Canada,42501,386.1336666666668
Air Canada,32365,448.3783333333334
Air Canada,29371,442.0176666666668
Air Canada,34389,443.86300000000006
Air Canada,23375,382.50566666666674
Air Canada,13379,372.2470000000001
Air Canada,21147,339.49766666666676
Air Canada,14734,351.59700000000004
Air China,24356,
Air China,2370,
Air China,9249,718.6930000000001
Air China,9201,606.9110000000001
Air China,14221,573.7663333333334
Air China,35159,536.8106666666666
Air China,16492,473.74366666666657
Air China,27969,406.93799999999993
Air China,17572,364.58033333333333
Air China,11109,368.8329999999999
Air China,20870,367.94699999999995
Air China,24076,443.05099999999993
Air India,26585,
Air India,16366,
Air India,27837,161.22666666666666
Air India,11587,152.769
Air India,42709,131.28666666666666
Air India,20773,116.58999999999999
Air India,42844,121.351
Air India,42237,130.1676666666667
Air India,8199,153.7566666666667
Air India,23908,189.63200000000003
Air India,42064,224.04
Air India,15529,216.58
Air Mauritius,6512,
Air Mauritius,27819,
Air Mauritius,30817,46.899333333333324
Air Mauritius,2310,37.46733333333333
Air Mauritius,13851,35.407333333333334
Air Mauritius,37877,28.567999999999998
Air Mauritius,16708,30.48133333333333
Air Mauritius,24650,36.53666666666666
Air Mauritius,18406,50.386666666666656
Air Mauritius,35522,55.99199999999999
Air Mauritius,12725,54.034333333333315
Air Mauritius,41139,52.29566666666665
Air New Zealand,280,
Air New Zealand,10569,
Air New Zealand,26836,2021.5136666666667
Air New Zealand,31589,999.6379999999999
Air New Zealand,8379,999.6283333333332
Air New Zealand,33009,1003.4343333333333
Air New Zealand,6924,1003.3383333333333
Air New Zealand,23194,1750.9873333333335
Air New Zealand,40788,747.6756666666669
Air New Zealand,42051,1504.331666666667
Air New Zealand,33822,756.6826666666667
Air New Zealand,42230,1586.9616666666668
Air New Zealand,12585,830.3026666666668
Air New Zealand,25627,1756.7103333333337
Air New Zealand,7237,926.4753333333339
Air New Zealand,30971,1735.1246666666673
Air New Zealand,11767,808.8976666666672
Air New Zealand,37862,1552.743666666667
