Airline_x,Max_Year,Airline_y,Min_Year
Aeroflot Russian Intl A/l,1996,Asian Express Airlines,1996
Aeroflot Russian Intl A/l,1996,China Eastern Airlines,1996
Aeroflot Russian Intl A/l,1996,Emirates,1996
Aeroflot Russian Intl A/l,1996,Freedom Air International,1996
Aeroflot Russian Intl A/l,1996,Martinair Holland,1996
Aeroflot Russian Intl A/l,1996,National Jet Systems,1996
Aeroflot Russian Intl A/l,1996,Vietnam Airlines,1996
Australia Asia Airlines,1996,Asian Express Airlines,1996
Australia Asia Airlines,1996,China Eastern Airlines,1996
Australia Asia Airlines,1996,Emirates,1996
Australia Asia Airlines,1996,Freedom Air International,1996
Australia Asia Airlines,1996,Martinair Holland,1996
Australia Asia Airlines,1996,National Jet Systems,1996
Australia Asia Airlines,1996,Vietnam Airlines,1996
Kiwi Travel Intl Airlines,1996,Asian Express Airlines,1996
Kiwi Travel Intl Airlines,1996,China Eastern Airlines,1996
Kiwi Travel Intl Airlines,1996,Emirates,1996
Kiwi Travel Intl Airlines,1996,Freedom Air International,1996
Kiwi Travel Intl Airlines,1996,Martinair Holland,1996
Kiwi Travel Intl Airlines,1996,National Jet Systems,1996
Kiwi Travel Intl Airlines,1996,Vietnam Airlines,1996
Aerolineas Argentinas,2014,Cebu Pacific Air,2014
Virgin Atlantic Airways,2014,Cebu Pacific Air,2014
Air Austral,2012,Scoot,2012
Air Australia,2012,Scoot,2012
Air Caledonie,2012,Scoot,2012
Continental Micronesia,2012,Scoot,2012
Our Airline,2012,Scoot,2012
Air Caledonie International,2020,Kalitta Air,2020
Air Canada,2020,Kalitta Air,2020
Air Chathams,2020,Kalitta Air,2020
Air China,2020,Kalitta Air,2020
Air India,2020,Kalitta Air,2020
Air Mauritius,2020,Kalitta Air,2020
Air New Zealand,2020,Kalitta Air,2020
Air Niugini,2020,Kalitta Air,2020
Air Vanuatu,2020,Kalitta Air,2020
AirAsia X,2020,Kalitta Air,2020
All Nippon Airways,2020,Kalitta Air,2020
American Airlines,2020,Kalitta Air,2020
Asiana Airlines,2020,Kalitta Air,2020
Batik Air Indonesia,2020,Kalitta Air,2020
Beijing Capital Airlines,2020,Kalitta Air,2020
British Airways,2020,Kalitta Air,2020
Cathay Pacific Airways,2020,Kalitta Air,2020
Cebu Pacific Air,2020,Kalitta Air,2020
China Airlines,2020,Kalitta Air,2020
China Eastern Airlines,2020,Kalitta Air,2020
China Southern Airlines,2020,Kalitta Air,2020
Citilink Indonesia,2020,Kalitta Air,2020
Delta Air Lines,2020,Kalitta Air,2020
Donghai Airlines,2020,Kalitta Air,2020
Emirates,2020,Kalitta Air,2020
Etihad Airways,2020,Kalitta Air,2020
Eva Air,2020,Kalitta Air,2020
Federal Express Corporation,2020,Kalitta Air,2020
Fiji Airways,2020,Kalitta Air,2020
Garuda Indonesia,2020,Kalitta Air,2020
Hainan Airlines,2020,Kalitta Air,2020
Hawaiian Airlines,2020,Kalitta Air,2020
Hong Kong Airlines,2020,Kalitta Air,2020
Indonesia AirAsia,2020,Kalitta Air,2020
Japan Airlines,2020,Kalitta Air,2020
Jetstar,2020,Kalitta Air,2020
Jetstar Asia,2020,Kalitta Air,2020
Kalitta Air,2020,Kalitta Air,2020
Korean Air,2020,Kalitta Air,2020
LATAM Airlines,2020,Kalitta Air,2020
Malaysia Airlines,2020,Kalitta Air,2020
Malindo Air,2020,Kalitta Air,2020
Nauru Airlines,2020,Kalitta Air,2020
Pacific Air Express,2020,Kalitta Air,2020
Philippine Airlines,2020,Kalitta Air,2020
Polar Air Cargo,2020,Kalitta Air,2020
Qantas Airways,2020,Kalitta Air,2020
Qatar Airways,2020,Kalitta Air,2020
Royal Brunei Airlines,2020,Kalitta Air,2020
Samoa Airways,2020,Kalitta Air,2020
Scoot Tigerair,2020,Kalitta Air,2020
Sichuan Airlines,2020,Kalitta Air,2020
Silk Air,2020,Kalitta Air,2020
Singapore Airlines,2020,Kalitta Air,2020
Solomon Airlines,2020,Kalitta Air,2020
South African Airways,2020,Kalitta Air,2020
SriLankan Airlines,2020,Kalitta Air,2020
Tasman Cargo Airlines,2020,Kalitta Air,2020
Thai AirAsia X,2020,Kalitta Air,2020
Thai Airways International,2020,Kalitta Air,2020
Tianjin Airlines,2020,Kalitta Air,2020
United Airlines,2020,Kalitta Air,2020
